date,province,confirm,dead,heal
03.10,吉林,93,1,91
03.11,吉林,93,1,91
03.12,吉林,93,1,91
03.13,吉林,93,1,91
03.14,吉林,93,1,91
03.15,吉林,93,1,92
03.16,吉林,93,1,92
03.17,吉林,93,1,92
03.18,吉林,93,1,92
03.19,吉林,93,1,92
03.20,吉林,93,1,92
03.21,吉林,93,1,92
03.22,吉林,93,1,92
03.23,吉林,93,1,92
03.24,吉林,94,1,92
03.25,吉林,95,1,92
03.26,吉林,95,1,92
03.27,吉林,97,1,92
03.28,吉林,98,1,92
03.29,吉林,98,1,92
03.30,吉林,98,1,92
03.31,吉林,98,1,92
03.01,四川,538,3,378
03.02,四川,538,3,389
03.03,四川,538,3,400
03.04,四川,539,3,418
03.05,四川,539,3,418
03.06,四川,539,3,448
03.07,四川,539,3,457
03.08,四川,539,3,465
03.09,四川,539,3,470
03.10,四川,539,3,484
03.11,四川,539,3,494
03.12,四川,539,3,500
03.13,四川,539,3,510
03.14,四川,539,3,515
03.15,四川,539,3,516
03.16,四川,539,3,520
03.17,四川,540,3,525
03.18,四川,540,3,531
03.19,四川,540,3,531
03.20,四川,541,3,536
03.21,四川,542,3,536
03.22,四川,543,3,536
03.23,四川,545,3,536
03.24,四川,547,3,536
03.25,四川,547,3,536
03.26,四川,547,3,536
03.27,四川,548,3,536
03.28,四川,550,3,536
03.29,四川,550,3,536
03.30,四川,550,3,536
03.31,四川,552,3,536
03.01,天津,136,3,111
03.02,天津,136,3,118
03.03,天津,136,3,124
03.04,天津,136,3,128
03.05,天津,136,3,128
03.07,天津,136,3,129
03.08,天津,136,3,130
03.09,天津,136,3,130
03.10,天津,136,3,131
03.11,天津,136,3,132
03.12,天津,136,3,132
03.13,天津,136,3,132
03.14,天津,136,3,132
03.15,天津,136,3,133
03.16,天津,136,3,133
03.17,天津,136,3,133
03.18,天津,136,3,133
03.19,天津,137,3,133
03.20,天津,137,3,133
03.21,天津,137,3,133
03.22,天津,141,3,133
03.23,天津,142,3,133
03.24,天津,145,3,133
03.25,天津,151,3,133
03.26,天津,152,3,133
03.27,天津,156,3,133
03.28,天津,163,3,133
03.29,天津,166,3,133
03.30,天津,174,3,133
03.31,天津,174,3,135
04.01,天津,176,3,135
03.01,宁夏,74,0,69
03.02,宁夏,74,0,69
03.03,宁夏,75,0,69
03.04,宁夏,75,0,69
03.05,宁夏,75,0,69
03.06,宁夏,75,0,71
03.07,宁夏,75,0,71
03.08,宁夏,75,0,71
03.09,宁夏,75,0,71
03.10,宁夏,75,0,71
03.11,宁夏,75,0,71
03.12,宁夏,75,0,72
03.13,宁夏,75,0,72
03.14,宁夏,75,0,73
03.15,宁夏,75,0,73
03.16,宁夏,75,0,75
03.17,宁夏,75,0,75
03.18,宁夏,75,0,75
03.19,宁夏,75,0,75
03.20,宁夏,75,0,75
03.21,宁夏,75,0,75
03.22,宁夏,75,0,75
03.23,宁夏,75,0,75
03.24,宁夏,75,0,75
03.25,宁夏,75,0,75
03.26,宁夏,75,0,75
03.27,宁夏,75,0,75
03.28,宁夏,75,0,75
03.29,宁夏,75,0,75
03.30,宁夏,75,0,75
03.31,宁夏,75,0,75
03.01,安徽,990,6,917
03.02,安徽,990,6,941
03.03,安徽,990,6,956
03.04,安徽,990,6,970
03.05,安徽,990,6,970
03.06,安徽,990,6,981
03.07,安徽,990,6,984
03.08,安徽,990,6,984
03.09,安徽,990,6,984
03.10,安徽,990,6,984
03.11,安徽,990,6,984
03.12,安徽,990,6,984
03.13,安徽,990,6,984
03.14,安徽,990,6,984
03.15,安徽,990,6,984
03.16,安徽,990,6,984
03.17,安徽,990,6,984
03.18,安徽,990,6,984
03.19,安徽,990,6,984
03.20,安徽,990,6,984
03.21,安徽,990,6,984
03.22,安徽,990,6,984
03.23,安徽,990,6,984
03.24,安徽,990,6,984
03.25,安徽,990,6,984
03.26,安徽,990,6,984
03.27,安徽,990,6,984
03.28,安徽,990,6,984
03.29,安徽,990,6,984
03.30,安徽,990,6,984
03.31,安徽,990,6,984
03.01,山东,758,6,455
03.02,山东,758,6,497
03.03,山东,758,6,511
03.04,山东,758,6,576
03.05,山东,758,6,577
03.06,山东,758,6,625
03.07,山东,758,6,638
03.08,山东,758,6,699
03.09,山东,758,6,719
03.10,山东,759,6,721
03.11,山东,760,6,733
03.12,山东,760,7,739
03.13,山东,760,7,741
03.14,山东,760,7,741
03.15,山东,760,7,743
03.16,山东,761,7,746
03.17,山东,761,7,746
03.18,山东,761,7,746
03.19,山东,762,7,747
03.20,山东,762,7,748
03.21,山东,764,7,749
03.22,山东,768,7,752
03.23,山东,768,7,752
03.24,山东,769,7,752
03.25,山东,769,7,752
03.26,山东,771,7,752
03.27,山东,772,7,752
03.28,山东,772,7,752
03.29,山东,773,7,753
03.30,山东,774,7,753
03.31,山东,774,7,753
03.01,山西,133,0,116
03.02,山西,133,0,119
03.03,山西,133,0,124
03.04,山西,133,0,124
03.05,山西,133,0,124
03.06,山西,133,0,126
03.07,山西,133,0,126
03.08,山西,133,0,127
03.09,山西,133,0,131
03.10,山西,133,0,132
03.11,山西,133,0,131
03.12,山西,133,0,132
03.13,山西,133,0,133
03.14,山西,133,0,133
03.15,山西,133,0,133
03.16,山西,133,0,133
03.17,山西,133,0,133
03.18,山西,133,0,133
03.19,山西,133,0,133
03.20,山西,133,0,133
03.21,山西,133,0,133
03.22,山西,133,0,133
03.23,山西,134,0,133
03.24,山西,134,0,133
03.25,山西,135,0,133
03.26,山西,135,0,133
03.27,山西,135,0,133
03.28,山西,136,0,133
03.29,山西,136,0,133
03.30,山西,136,0,133
03.31,山西,137,0,133
03.01,广东,1350,7,1034
03.02,广东,1350,7,1081
03.03,广东,1350,7,1129
03.04,广东,1350,7,1159
03.05,广东,1351,7,1181
03.06,广东,1352,7,1233
03.07,广东,1352,7,1250
03.08,广东,1352,8,1260
03.09,广东,1353,8,1270
03.10,广东,1353,8,1282
03.11,广东,1356,8,1288
03.12,广东,1356,8,1296
03.13,广东,1356,8,1299
03.14,广东,1357,8,1299
03.15,广东,1361,8,1306
03.16,广东,1364,8,1307
03.17,广东,1370,8,1312
03.18,广东,1378,8,1318
03.19,广东,1392,8,1322
03.20,广东,1399,8,1325
03.21,广东,1407,8,1329
03.22,广东,1413,8,1332
03.23,广东,1428,8,1333
03.24,广东,1433,8,1334
03.25,广东,1444,8,1336
03.26,广东,1456,8,1337
03.27,广东,1467,8,1341
03.28,广东,1475,8,1349
03.29,广东,1484,8,1351
03.30,广东,1490,8,1353
03.31,广东,1501,8,1357
03.01,广西,252,2,188
03.02,广西,252,2,202
03.03,广西,252,2,202
03.04,广西,252,2,213
03.05,广西,252,2,217
03.06,广西,252,2,219
03.07,广西,252,2,223
03.08,广西,252,2,230
03.09,广西,252,2,234
03.10,广西,252,2,237
03.11,广西,252,2,241
03.12,广西,252,2,243
03.13,广西,252,2,243
03.14,广西,252,2,243
03.15,广西,252,2,247
03.16,广西,253,2,248
03.17,广西,253,2,250
03.18,广西,253,2,250
03.19,广西,254,2,250
03.20,广西,254,2,250
03.21,广西,254,2,250
03.22,广西,254,2,250
03.23,广西,254,2,250
03.24,广西,254,2,250
03.25,广西,254,2,250
03.26,广西,254,2,250
03.27,广西,254,2,250
03.28,广西,254,2,250
03.29,广西,254,2,250
03.30,广西,254,2,250
03.31,广西,254,2,250
03.01,新疆,76,3,64
03.02,新疆,76,3,64
03.03,新疆,76,3,68
03.04,新疆,76,3,69
03.05,新疆,76,3,70
03.06,新疆,76,3,71
03.07,新疆,76,3,72
03.08,新疆,76,3,73
03.09,新疆,76,3,73
03.10,新疆,76,3,73
03.11,新疆,76,3,73
03.12,新疆,76,3,73
03.13,新疆,76,3,73
03.14,新疆,76,3,73
03.15,新疆,76,3,73
03.16,新疆,76,3,73
03.17,新疆,76,3,73
03.18,新疆,76,3,73
03.19,新疆,76,3,73
03.20,新疆,76,3,73
03.21,新疆,76,3,73
03.22,新疆,76,3,73
03.23,新疆,76,3,73
03.24,新疆,76,3,73
03.25,新疆,76,3,73
03.26,新疆,76,3,73
03.27,新疆,76,3,73
03.28,新疆,76,3,73
03.29,新疆,76,3,73
03.30,新疆,76,3,73
03.31,新疆,76,3,73
03.01,江苏,631,0,536
03.02,江苏,631,0,555
03.03,江苏,631,0,565
03.04,江苏,631,0,580
03.05,江苏,631,0,588
03.06,江苏,631,0,601
03.07,江苏,631,0,610
03.08,江苏,631,0,618
03.09,江苏,631,0,622
03.10,江苏,631,0,627
03.11,江苏,631,0,628
03.12,江苏,631,0,630
03.13,江苏,631,0,630
03.14,江苏,631,0,631
03.15,江苏,631,0,631
03.16,江苏,631,0,631
03.17,江苏,631,0,631
03.18,江苏,631,0,631
03.19,江苏,631,0,631
03.20,江苏,631,0,631
03.21,江苏,633,0,631
03.22,江苏,633,0,631
03.23,江苏,636,0,631
03.24,江苏,638,0,631
03.25,江苏,640,0,631
03.26,江苏,641,0,631
03.27,江苏,641,0,631
03.28,江苏,644,0,631
03.29,江苏,645,0,631
03.30,江苏,646,0,631
03.31,江苏,646,0,631
03.01,江西,935,1,850
03.02,江西,935,1,870
03.03,江西,935,1,884
03.04,江西,935,1,901
03.05,江西,935,1,901
03.06,江西,935,1,916
03.07,江西,935,1,918
03.08,江西,935,1,923
03.09,江西,935,1,927
03.10,江西,935,1,932
03.11,江西,935,1,934
03.12,江西,935,1,934
03.13,江西,935,1,934
03.14,江西,935,1,934
03.15,江西,935,1,934
03.16,江西,935,1,934
03.17,江西,935,1,934
03.18,江西,935,1,934
03.19,江西,935,1,934
03.20,江西,935,1,934
03.21,江西,936,1,934
03.22,江西,936,1,934
03.23,江西,936,1,934
03.24,江西,936,1,934
03.25,江西,936,1,934
03.26,江西,936,1,934
03.27,江西,936,1,934
03.28,江西,937,1,934
03.29,江西,937,1,935
03.30,江西,937,1,935
03.31,江西,937,1,935
03.01,河北,318,6,294
03.02,河北,318,6,297
03.03,河北,318,6,300
03.04,河北,318,6,301
03.05,河北,318,6,304
03.06,河北,318,6,305
03.07,河北,318,6,307
03.08,河北,318,6,307
03.09,河北,318,6,307
03.10,河北,318,6,307
03.11,河北,318,6,307
03.12,河北,318,6,310
03.13,河北,318,6,310
03.14,河北,318,6,310
03.15,河北,318,6,310
03.16,河北,318,6,310
03.17,河北,318,6,310
03.18,河北,318,6,310
03.19,河北,318,6,310
03.20,河北,318,6,310
03.21,河北,319,6,310
03.22,河北,319,6,310
03.23,河北,319,6,310
03.24,河北,319,6,310
03.25,河北,319,6,310
03.26,河北,319,6,310
03.27,河北,319,6,310
03.28,河北,319,6,310
03.29,河北,319,6,310
03.30,河北,321,6,310
03.31,河北,323,6,310
03.01,河南,1272,22,1205
03.02,河南,1272,22,1223
03.03,河南,1272,22,1234
03.04,河南,1272,22,1239
03.05,河南,1272,22,1239
03.06,河南,1272,22,1243
03.07,河南,1272,22,1246
03.08,河南,1272,22,1247
03.09,河南,1272,22,1247
03.10,河南,1272,22,1249
03.11,河南,1273,22,1249
03.12,河南,1273,22,1249
03.13,河南,1273,22,1249
03.14,河南,1273,22,1250
03.15,河南,1273,22,1250
03.16,河南,1273,22,1250
03.17,河南,1273,22,1250
03.18,河南,1273,22,1250
03.19,河南,1273,22,1250
03.20,河南,1273,22,1250
03.21,河南,1273,22,1250
03.22,河南,1274,22,1250
03.23,河南,1274,22,1250
03.24,河南,1274,22,1250
03.25,河南,1275,22,1250
03.26,河南,1275,22,1250
03.27,河南,1275,22,1251
03.28,河南,1276,22,1251
03.29,河南,1276,22,1251
03.30,河南,1276,22,1251
03.31,河南,1276,22,1251
03.01,浙江,1206,1,1050
03.02,浙江,1213,1,1086
03.03,浙江,1213,1,1107
03.04,浙江,1215,1,1130
03.05,浙江,1215,1,1130
03.06,浙江,1215,1,1161
03.07,浙江,1215,1,1169
03.08,浙江,1215,1,1182
03.09,浙江,1215,1,1190
03.10,浙江,1215,1,1205
03.11,浙江,1215,1,1209
03.12,浙江,1215,1,1209
03.13,浙江,1227,1,1211
03.14,浙江,1231,1,1211
03.15,浙江,1231,1,1213
03.16,浙江,1231,1,1213
03.17,浙江,1232,1,1216
03.18,浙江,1233,1,1217
03.19,浙江,1233,1,1217
03.20,浙江,1236,1,1219
03.21,浙江,1236,1,1219
03.22,浙江,1238,1,1221
03.23,浙江,1240,1,1221
03.24,浙江,1241,1,1221
03.25,浙江,1243,1,1222
03.26,浙江,1247,1,1222
03.27,浙江,1251,1,1225
03.28,浙江,1254,1,1225
03.29,浙江,1255,1,1225
03.30,浙江,1257,1,1226
03.31,浙江,1257,1,1226
03.01,海南,168,5,151
03.02,海南,168,5,151
03.03,海南,168,5,155
03.04,海南,168,5,158
03.05,海南,168,6,158
03.06,海南,168,6,158
03.07,海南,168,6,158
03.08,海南,168,6,159
03.09,海南,168,6,159
03.10,海南,168,6,159
03.11,海南,168,6,160
03.12,海南,168,6,160
03.13,海南,168,6,160
03.14,海南,168,6,160
03.15,海南,168,6,160
03.16,海南,168,6,161
03.17,海南,168,6,161
03.18,海南,168,6,161
03.19,海南,168,6,161
03.20,海南,168,6,161
03.21,海南,168,6,161
03.22,海南,168,6,161
03.23,海南,168,6,161
03.24,海南,168,6,162
03.25,海南,168,6,162
03.26,海南,168,6,162
03.27,海南,168,6,162
03.28,海南,168,6,162
03.29,海南,168,6,162
03.30,海南,168,6,162
03.31,海南,168,6,162
03.01,湖北,67103,2803,33757
03.02,湖北,67217,2834,36167
03.03,湖北,67332,2871,38556
03.04,湖北,67466,2902,40479
03.05,湖北,67592,2931,41966
03.06,湖北,67666,2959,43468
03.07,湖北,67707,2986,45011
03.08,湖北,67743,3007,46433
03.09,湖北,67760,3024,47585
03.10,湖北,67773,3046,49056
03.11,湖北,67781,3056,50298
03.12,湖北,67786,3062,51553
03.13,湖北,67790,3075,52943
03.14,湖北,67794,3085,54278
03.15,湖北,67798,3099,55094
03.16,湖北,67798,3111,55987
03.17,湖北,67800,3122,56883
03.18,湖北,67800,3130,57678
03.19,湖北,67800,3132,58381
03.20,湖北,67800,3139,58942
03.21,湖北,67800,3144,59432
03.22,湖北,67800,3153,59879
03.23,湖北,67801,3160,60323
03.24,湖北,67801,3163,60810
03.25,湖北,67801,3169,61201
03.26,湖北,67801,3174,61731
03.27,湖北,67801,3177,62098
03.28,湖北,67801,3177,62565
03.29,湖北,67801,3186,62882
03.30,湖北,67801,3187,63153
03.31,湖北,67802,3193,63326
03.01,湖南,1018,4,876
03.02,湖南,1018,4,892
03.03,湖南,1018,4,913
03.04,湖南,1018,4,933
03.05,湖南,1018,4,933
03.06,湖南,1018,4,959
03.07,湖南,1018,4,965
03.08,湖南,1018,4,979
03.09,湖南,1018,4,988
03.10,湖南,1018,4,995
03.11,湖南,1018,4,998
03.12,湖南,1018,4,1004
03.13,湖南,1018,4,1009
03.14,湖南,1018,4,1014
03.15,湖南,1018,4,1014
03.16,湖南,1018,4,1014
03.17,湖南,1018,4,1014
03.18,湖南,1018,4,1014
03.19,湖南,1018,4,1014
03.20,湖南,1018,4,1014
03.21,湖南,1018,4,1014
03.22,湖南,1018,4,1014
03.23,湖南,1018,4,1014
03.24,湖南,1018,4,1014
03.25,湖南,1018,4,1014
03.26,湖南,1018,4,1014
03.27,湖南,1018,4,1014
03.28,湖南,1018,4,1014
03.29,湖南,1018,4,1014
03.30,湖南,1018,4,1014
03.31,湖南,1018,4,1014
03.01,澳门,10,0,8
03.02,澳门,10,0,9
03.04,澳门,10,0,10
03.07,澳门,10,0,10
03.09,澳门,10,0,10
03.10,澳门,10,0,10
03.11,澳门,10,0,10
03.12,澳门,10,0,10
03.13,澳门,10,0,10
03.14,澳门,10,0,10
03.15,澳门,10,0,10
03.16,澳门,11,0,10
03.17,澳门,13,0,10
03.18,澳门,15,0,10
03.19,澳门,17,0,10
03.20,澳门,17,0,10
03.21,澳门,18,0,10
03.22,澳门,21,0,10
03.23,澳门,25,0,10
03.24,澳门,26,0,10
03.25,澳门,30,0,10
03.26,澳门,33,0,10
03.27,澳门,35,0,10
03.28,澳门,37,0,10
03.29,澳门,38,0,10
03.30,澳门,39,0,10
03.31,澳门,41,0,10
04.01,澳门,41,0,10
04.02,澳门,41,0,10
04.03,澳门,43,0,10
04.04,澳门,44,0,10
03.01,甘肃,91,2,84
03.02,甘肃,91,2,86
03.03,甘肃,91,2,87
03.04,甘肃,102,2,87
03.05,甘肃,119,2,87
03.06,甘肃,120,2,87
03.07,甘肃,124,2,87
03.08,甘肃,124,2,88
03.09,甘肃,125,2,88
03.09,甘肃,125,2,88
03.10,甘肃,127,2,88
03.11,甘肃,127,2,88
03.13,甘肃,129,2,89
03.14,甘肃,132,2,91
03.15,甘肃,133,2,91
03.16,甘肃,133,2,91
03.17,甘肃,133,2,91
03.18,甘肃,133,2,91
03.19,甘肃,134,2,98
03.20,甘肃,134,2,113
03.22,甘肃,136,2,114
03.23,甘肃,136,2,119
03.24,甘肃,136,2,121
03.25,甘肃,136,2,121
03.26,甘肃,136,2,125
03.27,甘肃,136,2,125
03.28,甘肃,136,2,125
03.29,甘肃,138,2,125
03.30,甘肃,138,2,125
03.31,甘肃,138,2,125
04.01,甘肃,138,2,127
03.01,福建,296,1,247
03.02,福建,296,1,255
03.03,福建,296,1,261
03.04,福建,296,1,270
03.05,福建,296,1,278
03.06,福建,296,1,284
03.07,福建,296,1,295
03.08,福建,296,1,295
03.09,福建,296,1,295
03.10,福建,296,1,295
03.11,福建,296,1,295
03.12,福建,296,1,295
03.13,福建,296,1,295
03.14,福建,296,1,295
03.15,福建,296,1,295
03.16,福建,296,1,295
03.17,福建,296,1,295
03.18,福建,296,1,295
03.19,福建,296,1,295
03.20,福建,299,1,295
03.21,福建,303,1,295
03.22,福建,313,1,295
03.23,福建,318,1,295
03.24,福建,322,1,295
03.25,福建,328,1,295
03.26,福建,331,1,295
03.27,福建,337,1,295
03.28,福建,338,1,295
03.29,福建,340,1,295
03.30,福建,343,1,295
03.31,福建,345,1,297
03.01,西藏,1,0,1
03.02,西藏,1,0,1
03.03,西藏,1,0,1
03.04,西藏,1,0,1
03.05,西藏,1,0,1
03.06,西藏,1,0,1
03.07,西藏,1,0,1
03.08,西藏,1,0,1
03.09,西藏,1,0,1
03.10,西藏,1,0,1
03.11,西藏,1,0,1
03.12,西藏,1,0,1
03.13,西藏,1,0,1
03.14,西藏,1,0,1
03.15,西藏,1,0,1
03.16,西藏,1,0,1
03.17,西藏,1,0,1
03.18,西藏,1,0,1
03.19,西藏,1,0,1
03.20,西藏,1,0,1
03.21,西藏,1,0,1
03.22,西藏,1,0,1
03.23,西藏,1,0,1
03.24,西藏,1,0,1
03.25,西藏,1,0,1
03.26,西藏,1,0,1
03.27,西藏,1,0,1
03.28,西藏,1,0,1
03.29,西藏,1,0,1
03.30,西藏,1,0,1
03.31,西藏,1,0,1
03.01,贵州,146,2,114
03.02,贵州,146,2,114
03.03,贵州,146,2,114
03.04,贵州,146,2,114
03.05,贵州,146,2,114
03.06,贵州,146,2,115
03.07,贵州,146,2,117
03.08,贵州,146,2,123
03.09,贵州,146,2,129
03.10,贵州,146,2,133
03.11,贵州,146,2,133
03.12,贵州,146,2,140
03.13,贵州,146,2,143
03.14,贵州,146,2,143
03.15,贵州,146,2,143
03.16,贵州,146,2,144
03.17,贵州,146,2,144
03.18,贵州,146,2,144
03.19,贵州,146,2,144
03.20,贵州,146,2,144
03.21,贵州,146,2,144
03.22,贵州,146,2,144
03.23,贵州,146,2,144
03.24,贵州,146,2,144
03.25,贵州,146,2,144
03.26,贵州,146,2,144
03.27,贵州,146,2,144
03.28,贵州,147,2,144
03.29,贵州,147,2,144
03.30,贵州,147,2,144
03.31,贵州,147,2,144
03.01,辽宁,122,1,103
03.02,辽宁,125,1,103
03.03,辽宁,125,1,106
03.04,辽宁,125,1,106
03.05,辽宁,125,1,106
03.06,辽宁,125,1,106
03.07,辽宁,125,1,108
03.08,辽宁,125,1,109
03.09,辽宁,125,1,110
03.10,辽宁,125,1,111
03.11,辽宁,125,1,111
03.12,辽宁,125,1,112
03.13,辽宁,125,1,113
03.14,辽宁,125,1,113
03.15,辽宁,125,1,114
03.16,辽宁,125,1,119
03.17,辽宁,125,1,122
03.18,辽宁,125,1,122
03.19,辽宁,125,1,122
03.20,辽宁,126,2,122
03.21,辽宁,126,2,122
03.22,辽宁,127,2,124
03.23,辽宁,127,2,124
03.24,辽宁,127,2,124
03.25,辽宁,127,2,124
03.26,辽宁,128,2,124
03.27,辽宁,131,2,124
03.28,辽宁,134,2,124
03.29,辽宁,136,2,124
03.30,辽宁,139,2,124
03.31,辽宁,140,2,124
03.01,重庆,576,6,450
03.02,重庆,576,6,469
03.03,重庆,576,6,490
03.04,重庆,576,6,502
03.05,重庆,576,6,502
03.06,重庆,576,6,520
03.07,重庆,576,6,526
03.08,重庆,576,6,527
03.09,重庆,576,6,542
03.10,重庆,576,6,547
03.11,重庆,576,6,554
03.12,重庆,576,6,564
03.13,重庆,576,6,566
03.14,重庆,576,6,569
03.15,重庆,576,6,570
03.16,重庆,576,6,570
03.17,重庆,576,6,570
03.18,重庆,576,6,570
03.19,重庆,576,6,570
03.20,重庆,576,6,570
03.21,重庆,577,6,570
03.22,重庆,577,6,570
03.23,重庆,578,6,570
03.24,重庆,578,6,570
03.25,重庆,578,6,570
03.26,重庆,578,6,570
03.27,重庆,578,6,570
03.28,重庆,579,6,570
03.29,重庆,579,6,570
03.30,重庆,579,6,570
03.31,重庆,579,6,570
03.01,陕西,245,1,209
03.02,陕西,245,1,216
03.03,陕西,245,1,216
03.04,陕西,245,1,222
03.05,陕西,245,1,224
03.06,陕西,245,1,226
03.07,陕西,245,1,226
03.08,陕西,245,1,227
03.09,陕西,245,1,227
03.10,陕西,245,1,229
03.11,陕西,245,2,232
03.12,陕西,245,2,232
03.13,陕西,245,2,232
03.14,陕西,245,2,232
03.15,陕西,245,2,232
03.16,陕西,246,3,233
03.17,陕西,246,3,236
03.18,陕西,246,3,236
03.19,陕西,247,3,237
03.20,陕西,248,3,239
03.21,陕西,248,3,239
03.22,陕西,248,3,239
03.23,陕西,249,3,240
03.24,陕西,250,3,240
03.25,陕西,253,3,242
03.26,陕西,253,3,242
03.27,陕西,253,3,242
03.28,陕西,253,3,242
03.29,陕西,253,3,242
03.30,陕西,253,3,242
03.31,陕西,255,3,242
03.01,青海,18,0,18
03.02,青海,18,0,18
03.03,青海,18,0,18
03.04,青海,18,0,18
03.05,青海,18,0,18
03.06,青海,18,0,18
03.07,青海,18,0,18
03.08,青海,18,0,18
03.09,青海,18,0,18
03.10,青海,18,0,18
03.11,青海,18,0,18
03.12,青海,18,0,18
03.13,青海,18,0,18
03.14,青海,18,0,18
03.15,青海,18,0,18
03.16,青海,18,0,18
03.17,青海,18,0,18
03.18,青海,18,0,18
03.19,青海,18,0,18
03.20,青海,18,0,18
03.21,青海,18,0,18
03.22,青海,18,0,18
03.23,青海,18,0,18
03.24,青海,18,0,18
03.25,青海,18,0,18
03.26,青海,18,0,18
03.27,青海,18,0,18
03.28,青海,18,0,18
03.29,青海,18,0,18
03.30,青海,18,0,18
03.31,青海,18,0,18
03.01,香港,98,2,36
03.02,香港,100,2,36
03.03,香港,100,2,37
03.04,香港,104,2,43
